ZH	Abk. Kanton Zürich
Vuisternens-en-Ogoz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Hauterive	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
La Brillaz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
La Sonnaz	Gde. im Bez. la Sarine, Kt. Fribourg  Freiburg
Barberêche	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Büchslen	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Courgevaux	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Courlevon	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Courtepin	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Cressier	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Fräschels	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Galmiz	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Gempenach	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Greng	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Gurmels	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Jeuss	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Kerzers	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Kleinbösingen	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Lurtigen	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Meyriez	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Misery-Courtion	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Muntelier	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Murten	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Ried bei Kerzers	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Salvenach	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Ulmiz	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Villarepos	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Bas-Vully	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Haut-Vully	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Wallenried	Gde. im Bez. See  Bez. Lac, Kt. Fribourg  Freiburg
Alterswil	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Brünisried	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Düdingen	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Giffers	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Bösingen	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Heitenried	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Oberschrot	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Plaffeien	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Plasselb	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Rechthalten	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
St.Antoni	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
St.Silvester	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
St.Ursen	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Schmitten	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Tafers	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Tentlingen	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Ueberstorf	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Wünnewil-Flamatt	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Zumholz	Gde. im Bez. Sense, Kt. Fribourg  Freiburg
Attalens	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Bossonnens	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Châtel-Saint-Denis	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Granges	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Remaufens	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Saint-Martin	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Semsales	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Le Flon	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
La Verrerie	Gde. im Bez. la Veveyse, Kt. Fribourg  Freiburg
Egerkingen	Gde. im Bez. Gäu, Kt. Solothurn
Härkingen	Gde. im Bez. Gäu, Kt. Solothurn
Kestenholz	Gde. im Bez. Gäu, Kt. Solothurn
Neuendorf	Gde. im Bez. Gäu, Kt. Solothurn
Niederbuchsiten	Gde. im Bez. Gäu, Kt. Solothurn
Oberbuchsiten	Gde. im Bez. Gäu, Kt. Solothurn
Oensingen	Gde. im Bez. Gäu, Kt. Solothurn
Wolfwil	Gde. im Bez. Gäu, Kt. Solothurn
Aedermannsdorf	Gde. im Bez. Thal, Kt. Solothurn
Balsthal	Gde. im Bez. Thal, Kt. Solothurn
Gänsbrunnen	Gde. im Bez. Thal, Kt. Solothurn
Herbetswil	Gde. im Bez. Thal, Kt. Solothurn
Holderbank	Gde. im Bez. Thal, Kt. Solothurn
Laupersdorf	Gde. im Bez. Thal, Kt. Solothurn
Matzendorf	Gde. im Bez. Thal, Kt. Solothurn
Mümliswil-Ramiswil	Gde. im Bez. Thal, Kt. Solothurn
Welschenrohr	Gde. im Bez. Thal, Kt. Solothurn
Aetigkofen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Aetingen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Bibern	Gde. im Bez. Bucheggberg, Kt. Solothurn
Biezwil	Gde. im Bez. Bucheggberg, Kt. Solothurn
Brügglen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Gossliwil	Gde. im Bez. Bucheggberg, Kt. Solothurn
Hessigkofen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Küttigkofen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Kyburg-Buchegg	Gde. im Bez. Bucheggberg, Kt. Solothurn
Lüsslingen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Lüterkofen-Ichertswil	Gde. im Bez. Bucheggberg, Kt. Solothurn
Lüterswil-Gächliwil	Gde. im Bez. Bucheggberg, Kt. Solothurn
Messen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Mühledorf	Gde. im Bez. Bucheggberg, Kt. Solothurn
Nennigkofen	Gde. im Bez. Bucheggberg, Kt. Solothurn
Schnottwil	Gde. im Bez. Bucheggberg, Kt. Solothurn
Tscheppach	Gde. im Bez. Bucheggberg, Kt. Solothurn
Unterramsern	Gde. im Bez. Bucheggberg, Kt. Solothurn
Bättwil	Gde. im Bez. Dorneck, Kt. Solothurn
Büren	Gde. im Bez. Dorneck, Kt. Solothurn
Dornach	Gde. im Bez. Dorneck, Kt. Solothurn
Gempen	Gde. im Bez. Dorneck, Kt. Solothurn
Hochwald	Gde. im Bez. Dorneck, Kt. Solothurn
Hofstetten-Flüh	Gde. im Bez. Dorneck, Kt. Solothurn
Metzerlen-Mariastein	Gde. im Bez. Dorneck, Kt. Solothurn
Nuglar-St.Pantaleon	Gde. im Bez. Dorneck, Kt. Solothurn
Rodersdorf	Gde. im Bez. Dorneck, Kt. Solothurn
Seewen	Gde. im Bez. Dorneck, Kt. Solothurn
Witterswil	Gde. im Bez. Dorneck, Kt. Solothurn
Hauenstein-Ifenthal	Gde. im Bez. Gösgen, Kt. Solothurn
Kienberg	Gde. im Bez. Gösgen, Kt. Solothurn
Lostorf	Gde. im Bez. Gösgen, Kt. Solothurn
Niedergösgen	Gde. im Bez. Gösgen, Kt. Solothurn
Obergösgen	Gde. im Bez. Gösgen, Kt. Solothurn
Rohr	Gde. im Bez. Gösgen, Kt. Solothurn
Stüsslingen	Gde. im Bez. Gösgen, Kt. Solothurn
Trimbach	Gde. im Bez. Gösgen, Kt. Solothurn
Winznau	Gde. im Bez. Gösgen, Kt. Solothurn
Wisen	Gde. im Bez. Gösgen, Kt. Solothurn
Erlinsbach	Gde. im Bez. Gösgen, Kt. Solothurn
Aeschi	Gde. im Bez. Wasseramt, Kt. Solothurn
Biberist	Gde. im Bez. Wasseramt, Kt. Solothurn
Bolken	Gde. im Bez. Wasseramt, Kt. Solothurn
Deitingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Derendingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Etziken	Gde. im Bez. Wasseramt, Kt. Solothurn
Gerlafingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Halten	Gde. im Bez. Wasseramt, Kt. Solothurn
Heinrichswil-Winistorf	Gde. im Bez. Wasseramt, Kt. Solothurn
Hersiwil	Gde. im Bez. Wasseramt, Kt. Solothurn
Horriwil	Gde. im Bez. Wasseramt, Kt. Solothurn
Hüniken	Gde. im Bez. Wasseramt, Kt. Solothurn
Kriegstetten	Gde. im Bez. Wasseramt, Kt. Solothurn
Lohn-Ammannsegg	Gde. im Bez. Wasseramt, Kt. Solothurn
Luterbach	Gde. im Bez. Wasseramt, Kt. Solothurn
Obergerlafingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Oekingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Recherswil	Gde. im Bez. Wasseramt, Kt. Solothurn
Steinhof	Gde. im Bez. Wasseramt, Kt. Solothurn
Subingen	Gde. im Bez. Wasseramt, Kt. Solothurn
Zuchwil	Gde. im Bez. Wasseramt, Kt. Solothurn
Balm bei Günsberg	Gde. im Bez. Lebern, Kt. Solothurn
Bellach	Gde. im Bez. Lebern, Kt. Solothurn
Bettlach	Gde. im Bez. Lebern, Kt. Solothurn
Feldbrunnen-St.Niklaus	Gde. im Bez. Lebern, Kt. Solothurn
Flumenthal	Gde. im Bez. Lebern, Kt. Solothurn
Grenchen	Gde. im Bez. Lebern, Kt. Solothurn
Günsberg	Gde. im Bez. Lebern, Kt. Solothurn
Hubersdorf	Gde. im Bez. Lebern, Kt. Solothurn
Kammersrohr	Gde. im Bez. Lebern, Kt. Solothurn
Langendorf	Gde. im Bez. Lebern, Kt. Solothurn
Lommiswil	Gde. im Bez. Lebern, Kt. Solothurn
Oberdorf	Gde. im Bez. Lebern, Kt. Solothurn
Riedholz	Gde. im Bez. Lebern, Kt. Solothurn
Rüttenen	Gde. im Bez. Lebern, Kt. Solothurn
Selzach	Gde. im Bez. Lebern, Kt. Solothurn
Boningen	Gde. im Bez. Olten, Kt. Solothurn
Däniken	Gde. im Bez. Olten, Kt. Solothurn
Dulliken	Gde. im Bez. Olten, Kt. Solothurn
Eppenberg-Wöschnau	Gde. im Bez. Olten, Kt. Solothurn
Fulenbach	Gde. im Bez. Olten, Kt. Solothurn
Gretzenbach	Gde. im Bez. Olten, Kt. Solothurn
Gunzgen	Gde. im Bez. Olten, Kt. Solothurn
Hägendorf	Gde. im Bez. Olten, Kt. Solothurn
Kappel	Gde. im Bez. Olten, Kt. Solothurn
Olten	Gde. im Bez. Olten, Kt. Solothurn
Rickenbach	Gde. im Bez. Olten, Kt. Solothurn
Schönenwerd	Gde. im Bez. Olten, Kt. Solothurn
Starrkirch-Wil	Gde. im Bez. Olten, Kt. Solothurn
Walterswil	Gde. im Bez. Olten, Kt. Solothurn
Wangen bei Olten	Gde. im Bez. Olten, Kt. Solothurn
Solothurn	Gde. im Bez. Solothurn, Kt. Solothurn
Bärschwil	Gde. im Bez. Thierstein, Kt. Solothurn
Beinwil	Gde. im Bez. Thierstein, Kt. Solothurn
Breitenbach	Gde. im Bez. Thierstein, Kt. Solothurn
Büsserach	Gde. im Bez. Thierstein, Kt. Solothurn
Erschwil	Gde. im Bez. Thierstein, Kt. Solothurn
Fehren	Gde. im Bez. Thierstein, Kt. Solothurn
Grindel	Gde. im Bez. Thierstein, Kt. Solothurn
Himmelried	Gde. im Bez. Thierstein, Kt. Solothurn
Kleinlützel	Gde. im Bez. Thierstein, Kt. Solothurn
Meltingen	Gde. im Bez. Thierstein, Kt. Solothurn
Nunningen	Gde. im Bez. Thierstein, Kt. Solothurn
Zullwil	Gde. im Bez. Thierstein, Kt. Solothurn
Basel	Gde. im Kanton Basel-Stadt, Kt. Basel-Stadt
Bettingen	Gde. im Kanton Basel-Stadt, Kt. Basel-Stadt
Riehen	Gde. im Kanton Basel-Stadt, Kt. Basel-Stadt
Aesch	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Allschwil	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Arlesheim	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Biel-Benken	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Binningen	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Birsfelden	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Bottmingen	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Ettingen	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Münchenstein	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Muttenz	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Oberwil	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Pfeffingen	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Reinach	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Schönenbuch	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Therwil	Gde. im Bez. Arlesheim, Kt. Basel-Landschaft
Blauen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Brislach	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Burg im Leimental	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Dittingen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Duggingen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Grellingen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Laufen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Liesberg	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Nenzlingen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Roggenburg	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Röschenz	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Wahlen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Zwingen	Gde. im Bez. Laufen, Kt. Basel-Landschaft
Arisdorf	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Augst	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Bubendorf	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Frenkendorf	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Füllinsdorf	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Giebenach	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Hersberg	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Lausen	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Liestal	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Lupsingen	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Pratteln	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Ramlinsburg	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Seltisberg	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Ziefen	Gde. im Bez. Liestal, Kt. Basel-Landschaft
Anwil	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Böckten	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Buckten	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Buus	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Diepflingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Gelterkinden	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Häfelfingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Hemmiken	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Itingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Känerkinden	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Kilchberg	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Läufelfingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Maisprach	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Nusshof	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Oltingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Ormalingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Rickenbach	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Rothenfluh	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Rümlingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Rünenberg	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Sissach	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Tecknau	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Tenniken	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Thürnen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Wenslingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Wintersingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Wittinsburg	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Zeglingen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Zunzgen	Gde. im Bez. Sissach, Kt. Basel-Landschaft
Arboldswil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Bennwil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Bretzwil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Diegten	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Eptingen	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Hölstein	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Lampenberg	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Langenbruck	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Lauwil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Liedertswil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Niederdorf	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Oberdorf	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Reigoldswil	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Titterten	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Waldenburg	Gde. im Bez. Waldenburg, Kt. Basel-Landschaft
Gächlingen	Gde. im Bez. Oberklettgau, Kt. Schaffhausen
Guntmadingen	Gde. im Bez. Oberklettgau, Kt. Schaffhausen
Löhningen	Gde. im Bez. Oberklettgau, Kt. Schaffhausen
Neunkirch	Gde. im Bez. Oberklettgau, Kt. Schaffhausen
Büttenhardt	Gde. im Bez. Reiat, Kt. Schaffhausen
Dörflingen	Gde. im Bez. Reiat, Kt. Schaffhausen
Lohn	Gde. im Bez. Reiat, Kt. Schaffhausen
Stetten	Gde. im Bez. Reiat, Kt. Schaffhausen
Thayngen	Gde. im Bez. Reiat, Kt. Schaffhausen
Bargen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Beringen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Buchberg	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Merishausen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Neuhausen am Rheinfall	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Neuhausen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Rüdlingen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Schaffhausen	Gde. im Bez. Schaffhausen, Kt. Schaffhausen
Beggingen	Gde. im Bez. Schleitheim, Kt. Schaffhausen
Schleitheim	Gde. im Bez. Schleitheim, Kt. Schaffhausen
Siblingen	Gde. im Bez. Schleitheim, Kt. Schaffhausen
Buch	Gde. im Bez. Stein, Kt. Schaffhausen
Hemishofen	Gde. im Bez. Stein, Kt. Schaffhausen
Ramsen	Gde. im Bez. Stein, Kt. Schaffhausen
Stein am Rhein	Gde. im Bez. Stein, Kt. Schaffhausen
Hallau	Gde. im Bez. Unterklettgau, Kt. Schaffhausen
Oberhallau	Gde. im Bez. Unterklettgau, Kt. Schaffhausen
Trasadingen	Gde. im Bez. Unterklettgau, Kt. Schaffhausen
Wilchingen	Gde. im Bez. Unterklettgau, Kt. Schaffhausen
Herisau	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Hundwil	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Schönengrund	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Schwellbrunn	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Stein	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Urnäsch	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Waldstatt	Gde. im Bez. Hinterland, Kt. Appenzell Ausserrhoden
Bühler	Gde. im Bez. Mittelland, Kt. Appenzell Ausserrhoden
Gais	Gde. im Bez. Mittelland, Kt. Appenzell Ausserrhoden
Speicher	Gde. im Bez. Mittelland, Kt. Appenzell Ausserrhoden
Teufen	Gde. im Bez. Mittelland, Kt. Appenzell Ausserrhoden
Trogen	Gde. im Bez. Mittelland, Kt. Appenzell Ausserrhoden
Grub	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Heiden	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Lutzenberg	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Rehetobel	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Reute	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Wald	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Walzenhausen	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Wolfhalden	Gde. im Bez. Vorderland, Kt. Appenzell Ausserrhoden
Appenzell	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Gonten	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Rüte	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Schlatt-Haslen	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Schwende	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Oberegg	Gde. im Kanton Appenzell Innerrhoden, Kt. Appenzell Innerrhoden
Häggenschwil	Gde. im Kr. St.Gallen, Kt. St.Gallen
Muolen	Gde. im Kr. St.Gallen, Kt. St.Gallen
St.Gallen	Gde. im Kr. St.Gallen, Kt. St.Gallen
Wittenbach	Gde. im Kr. St.Gallen, Kt. St.Gallen
Berg	Gde. im Kr. Rorschach, Kt. St.Gallen
Eggersriet	Gde. im Kr. St.Gallen, Kt. St.Gallen
Goldach	Gde. im Kr. Rorschach, Kt. St.Gallen
Mörschwil	Gde. im Kr. Rorschach, Kt. St.Gallen
Rorschach	Gde. im Kr. Rorschach, Kt. St.Gallen
Rorschacherberg	Gde. im Kr. Rorschach, Kt. St.Gallen
Steinach	Gde. im Kr. Rorschach, Kt. St.Gallen
Tübach	Gde. im Kr. Rorschach, Kt. St.Gallen
Untereggen	Gde. im Kr. Rorschach, Kt. St.Gallen
Au	Gde. im Kr. Rheintal, Kt. St.Gallen
Balgach	Gde. im Kr. Rheintal, Kt. St.Gallen
Berneck	Gde. im Kr. Rheintal, Kt. St.Gallen
Diepoldsau	Gde. im Kr. Rheintal, Kt. St.Gallen
Rheineck	Gde. im Kr. Rheintal, Kt. St.Gallen
St.Margrethen	Gde. im Kr. Rheintal, Kt. St.Gallen
Thal	Gde. im Kr. Rorschach, Kt. St.Gallen
Widnau	Gde. im Kr. Rheintal, Kt. St.Gallen
Altstätten	Gde. im Kr. Rheintal, Kt. St.Gallen
Eichberg	Gde. im Kr. Rheintal, Kt. St.Gallen
Marbach	Gde. im Kr. Rheintal, Kt. St.Gallen
Oberriet	Gde. im Kr. Rheintal, Kt. St.Gallen
Rebstein	Gde. im Kr. Rheintal, Kt. St.Gallen
Rüthi	Gde. im Kr. Rheintal, Kt. St.Gallen
Buchs	Gde. im Kr. Werdenberg, Kt. St.Gallen
Gams	Gde. im Kr. Werdenberg, Kt. St.Gallen
Grabs	Gde. im Kr. Werdenberg, Kt. St.Gallen
Sennwald	Gde. im Kr. Werdenberg, Kt. St.Gallen
Sevelen	Gde. im Kr. Werdenberg, Kt. St.Gallen
Wartau	Gde. im Kr. Werdenberg, Kt. St.Gallen
Bad Ragaz	Gde. im Kr. Sarganserland, Kt. St.Gallen
Flums	Gde. im Kr. Sarganserland, Kt. St.Gallen
Mels	Gde. im Kr. Sarganserland, Kt. St.Gallen
Pfäfers	Gde. im Kr. Sarganserland, Kt. St.Gallen
Quarten	Gde. im Kr. Sarganserland, Kt. St.Gallen
Sargans	Gde. im Kr. Sarganserland, Kt. St.Gallen
Vilters-Wangs	Gde. im Kr. Sarganserland, Kt. St.Gallen
Walenstadt	Gde. im Kr. Sarganserland, Kt. St.Gallen
Amden	Gde. im Kr. See-Gaster, Kt. St.Gallen
Benken	Gde. im Kr. See-Gaster, Kt. St.Gallen
Kaltbrunn	Gde. im Kr. See-Gaster, Kt. St.Gallen
Rieden	Gde. im Kr. See-Gaster, Kt. St.Gallen
Schänis	Gde. im Kr. See-Gaster, Kt. St.Gallen
Weesen	Gde. im Kr. See-Gaster, Kt. St.Gallen
Ernetschwil	Gde. im Kr. See-Gaster, Kt. St.Gallen
Eschenbach	Gde. im Kr. See-Gaster, Kt. St.Gallen
Goldingen	Gde. im Kr. See-Gaster, Kt. St.Gallen
Gommiswald	Gde. im Kr. See-Gaster, Kt. St.Gallen
St.Gallenkappel	Gde. im Kr. See-Gaster, Kt. St.Gallen
Schmerikon	Gde. im Kr. See-Gaster, Kt. St.Gallen
Uznach	Gde. im Kr. See-Gaster, Kt. St.Gallen
Rapperswil-Jona	Gde. im Kr. See-Gaster, Kt. St.Gallen
Ebnat-Kappel	Gde. im Kr. Toggenburg, Kt. St.Gallen
Stein	Gde. im Kr. Toggenburg, Kt. St.Gallen
Nesslau-Krummenau	Gde. im Kr. Toggenburg, Kt. St.Gallen
Wildhaus-Alt St.Johann	Gde. im Kr. Toggenburg, Kt. St.Gallen
Hemberg	Gde. im Kr. Toggenburg, Kt. St.Gallen
Krinau	Gde. im Kr. Toggenburg, Kt. St.Gallen
Lichtensteig	Gde. im Kr. Toggenburg, Kt. St.Gallen
Oberhelfenschwil	Gde. im Kr. Toggenburg, Kt. St.Gallen
Wattwil	Gde. im Kr. Toggenburg, Kt. St.Gallen
Neckertal	Gde. im Kr. Toggenburg, Kt. St.Gallen
Bütschwil	Gde. im Kr. Toggenburg, Kt. St.Gallen
Kirchberg	Gde. im Kr. Toggenburg, Kt. St.Gallen
Lütisburg	Gde. im Kr. Toggenburg, Kt. St.Gallen
Mosnang	Gde. im Kr. Toggenburg, Kt. St.Gallen
Degersheim	Gde. im Kr. Wil, Kt. St.Gallen
Flawil	Gde. im Kr. Wil, Kt. St.Gallen
Ganterschwil	Gde. im Kr. Toggenburg, Kt. St.Gallen
Jonschwil	Gde. im Kr. Wil, Kt. St.Gallen
Oberuzwil	Gde. im Kr. Wil, Kt. St.Gallen
Uzwil	Gde. im Kr. Wil, Kt. St.Gallen
Bronschhofen	Gde. im Kr. Wil, Kt. St.Gallen
Niederbüren	Gde. im Kr. Wil, Kt. St.Gallen
Niederhelfenschwil	Gde. im Kr. Wil, Kt. St.Gallen
Oberbüren	Gde. im Kr. Wil, Kt. St.Gallen
Wil	Gde. im Kr. Wil, Kt. St.Gallen
Zuzwil	Gde. im Kr. Wil, Kt. St.Gallen
