ZH	Abk. Kanton Zürich
Lindau	Gde. im Bez. Pfäffikon, Kt. Zürich
Pfäffikon	Gde. im Bez. Pfäffikon, Kt. Zürich
Russikon	Gde. im Bez. Pfäffikon, Kt. Zürich
Sternenberg	Gde. im Bez. Pfäffikon, Kt. Zürich
Weisslingen	Gde. im Bez. Pfäffikon, Kt. Zürich
Wila	Gde. im Bez. Pfäffikon, Kt. Zürich
Wildberg	Gde. im Bez. Pfäffikon, Kt. Zürich
Dübendorf	Gde. im Bez. Uster, Kt. Zürich
Egg	Gde. im Bez. Uster, Kt. Zürich
Fällanden	Gde. im Bez. Uster, Kt. Zürich
Greifensee	Gde. im Bez. Uster, Kt. Zürich
Maur	Gde. im Bez. Uster, Kt. Zürich
Mönchaltorf	Gde. im Bez. Uster, Kt. Zürich
Schwerzenbach	Gde. im Bez. Uster, Kt. Zürich
Uster	Gde. im Bez. Uster, Kt. Zürich
Volketswil	Gde. im Bez. Uster, Kt. Zürich
Wangen-Brüttisellen	Gde. im Bez. Uster, Kt. Zürich
Altikon	Gde. im Bez. Winterthur, Kt. Zürich
Bertschikon	Gde. im Bez. Winterthur, Kt. Zürich
Brütten	Gde. im Bez. Winterthur, Kt. Zürich
Dägerlen	Gde. im Bez. Winterthur, Kt. Zürich
Dättlikon	Gde. im Bez. Winterthur, Kt. Zürich
Dinhard	Gde. im Bez. Winterthur, Kt. Zürich
Elgg	Gde. im Bez. Winterthur, Kt. Zürich
Ellikon an der Thur	Gde. im Bez. Winterthur, Kt. Zürich
Elsau	Gde. im Bez. Winterthur, Kt. Zürich
Hagenbuch	Gde. im Bez. Winterthur, Kt. Zürich
Hettlingen	Gde. im Bez. Winterthur, Kt. Zürich
Hofstetten	Gde. im Bez. Winterthur, Kt. Zürich
Neftenbach	Gde. im Bez. Winterthur, Kt. Zürich
Pfungen	Gde. im Bez. Winterthur, Kt. Zürich
Rickenbach	Gde. im Bez. Winterthur, Kt. Zürich
Schlatt	Gde. im Bez. Winterthur, Kt. Zürich
Seuzach	Gde. im Bez. Winterthur, Kt. Zürich
Turbenthal	Gde. im Bez. Winterthur, Kt. Zürich
Wiesendangen	Gde. im Bez. Winterthur, Kt. Zürich
Winterthur	Gde. im Bez. Winterthur, Kt. Zürich
Zell	Gde. im Bez. Winterthur, Kt. Zürich
Aesch	Gde. im Bez. Dietikon, Kt. Zürich
Birmensdorf	Gde. im Bez. Dietikon, Kt. Zürich
Dietikon	Gde. im Bez. Dietikon, Kt. Zürich
Geroldswil	Gde. im Bez. Dietikon, Kt. Zürich
Oberengstringen	Gde. im Bez. Dietikon, Kt. Zürich
Oetwil an der Limmat	Gde. im Bez. Dietikon, Kt. Zürich
Schlieren	Gde. im Bez. Dietikon, Kt. Zürich
Uitikon	Gde. im Bez. Dietikon, Kt. Zürich
Unterengstringen	Gde. im Bez. Dietikon, Kt. Zürich
Urdorf	Gde. im Bez. Dietikon, Kt. Zürich
Weiningen	Gde. im Bez. Dietikon, Kt. Zürich
Zürich	Gde. im Bez. Zürich, Kt. Zürich
Aarberg	Gde. im Kr. Seeland, Kt. Bern
Bargen	Gde. im Kr. Seeland, Kt. Bern
Grossaffoltern	Gde. im Kr. Seeland, Kt. Bern
Kallnach	Gde. im Kr. Seeland, Kt. Bern
Kappelen	Gde. im Kr. Seeland, Kt. Bern
Lyss	Gde. im Kr. Seeland, Kt. Bern
Meikirch	Gde. im Kr. Bern-Mittelland, Kt. Bern
Niederried bei Kallnach	Gde. im Kr. Seeland, Kt. Bern
Radelfingen	Gde. im Kr. Seeland, Kt. Bern
Rapperswil	Gde. im Kr. Seeland, Kt. Bern
Schüpfen	Gde. im Kr. Seeland, Kt. Bern
Seedorf	Gde. im Kr. Seeland, Kt. Bern
Aarwangen	Gde. im Kr. Oberaargau, Kt. Bern
Auswil	Gde. im Kr. Oberaargau, Kt. Bern
Bannwil	Gde. im Kr. Oberaargau, Kt. Bern
Bleienbach	Gde. im Kr. Oberaargau, Kt. Bern
